date,ben_nuclear,ben_hard-coal,ben_gas,ben_oil,ben_other-non-renewables,ben_wind_onshore,ben_wind_offshore,ben_solar_pv,ben_other-renewables,ben_failure
2025-01-01 00:00:00,-0.0,791.8249999999971,20589.0,-0.0,-0.0,359.634,495.541,-0.0,1010.0,-0.0
2025-01-01 01:00:00,-0.0,89.34299999999712,20589.0,-0.0,-0.0,392.328,596.329,-0.0,1010.0,-0.0
2025-01-01 02:00:00,-0.0,-0.0,19814.672000000002,-0.0,-0.0,512.206,655.122,-0.0,1010.0,-0.0
2025-01-01 03:00:00,-0.0,-0.0,19217.118,-0.0,-0.0,642.982,839.9,-0.0,1010.0,-0.0
2025-01-01 04:00:00,-0.0,-0.0,19163.469999999998,-0.0,-0.0,850.044,957.486,-0.0,1010.0,-0.0
2025-01-01 05:00:00,-0.0,-0.0,18894.645,-0.0,-0.0,1285.964,1755.391,-0.0,1010.0,-0.0
2025-01-01 06:00:00,-0.0,-0.0,17245.591,-0.0,-0.0,2048.824,3485.585,-0.0,1010.0,-0.0
2025-01-01 07:00:00,-0.0,-0.0,15478.671000000002,-0.0,-0.0,3171.318,4947.011,-0.0,1010.0,-0.0
2025-01-01 08:00:00,-0.0,-0.0,14594.134,-0.0,-0.0,4108.546,5711.32,-0.0,1010.0,-0.0
2025-01-01 09:00:00,-0.0,-0.0,12191.635000000002,-0.0,-0.0,5067.57,6601.614,814.181,1010.0,-0.0
2025-01-01 10:00:00,-0.0,-0.0,10929.720000000001,-0.0,-0.0,6081.084,6903.978,1245.218,1010.0,-0.0
2025-01-01 11:00:00,-0.0,-0.0,10073.152999999998,-0.0,-0.0,6734.964,7307.13,1005.753,1010.0,-0.0
2025-01-01 12:00:00,-0.0,-0.0,9968.639,-0.0,-0.0,7268.966,7617.893,670.502,1010.0,-0.0
2025-01-01 13:00:00,-0.0,-0.0,9879.345999999998,-0.0,-0.0,7497.824,7676.686,383.144,1010.0,-0.0
2025-01-01 14:00:00,-0.0,-0.0,9990.915,-0.0,-0.0,7650.396,7533.903,95.786,1010.0,-0.0
2025-01-01 15:00:00,-0.0,-0.0,10468.392999999998,-0.0,-0.0,7813.866,7214.741,-0.0,1010.0,-0.0
2025-01-01 16:00:00,-0.0,-0.0,11543.513000000003,-0.0,-0.0,8129.908,6895.579,-0.0,1010.0,-0.0
2025-01-01 17:00:00,-0.0,-0.0,13061.345000000001,-0.0,-0.0,8391.46,6761.195,-0.0,1010.0,-0.0
2025-01-01 18:00:00,-0.0,-0.0,13371.619000000002,-0.0,-0.0,8511.338,6358.043,-0.0,1010.0,-0.0
2025-01-01 19:00:00,-0.0,-0.0,12378.114999999998,-0.0,-0.0,8522.236,6307.649,-0.0,1010.0,-0.0
2025-01-01 20:00:00,-0.0,-0.0,11582.08,-0.0,-0.0,8413.256,6181.664,-0.0,1010.0,-0.0
2025-01-01 21:00:00,-0.0,-0.0,11474.829,-0.0,-0.0,8260.684,5988.487,-0.0,1010.0,-0.0
2025-01-01 22:00:00,-0.0,-0.0,11492.786,-0.0,-0.0,7726.682,5610.532,-0.0,1010.0,-0.0
2025-01-01 23:00:00,-0.0,-0.0,11437.096999999998,-0.0,-0.0,7759.376,5652.527,-0.0,1010.0,-0.0
2025-01-02 00:00:00,-0.0,-0.0,9856.391000000001,-0.0,-0.0,7661.294,5753.315,-0.0,1010.0,-0.0
2025-01-02 01:00:00,-0.0,-0.0,9191.059000000001,-0.0,-0.0,7563.212,5635.729,-0.0,1010.0,-0.0
2025-01-02 02:00:00,-0.0,-0.0,9227.14,-0.0,-0.0,6952.924,5576.936,-0.0,1010.0,-0.0
2025-01-02 03:00:00,-0.0,-0.0,9584.759999999998,-0.0,-0.0,6549.698,5526.542,-0.0,1010.0,-0.0
2025-01-02 04:00:00,-0.0,-0.0,11239.76,-0.0,-0.0,5656.062,5224.178,-0.0,1010.0,-0.0
2025-01-02 05:00:00,-0.0,-0.0,13993.526999999998,-0.0,-0.0,4697.038,4745.435,-0.0,1010.0,-0.0
2025-01-02 06:00:00,-0.0,-0.0,17840.709,-0.0,-0.0,3683.524,3636.767,-0.0,1010.0,-0.0
2025-01-02 07:00:00,-0.0,-0.0,19731.885,-0.0,-0.0,2833.48,3065.635,-0.0,1010.0,-0.0
2025-01-02 08:00:00,364.5619999999981,2671.0,20589.0,-0.0,-0.0,2659.112,2301.326,-0.0,1010.0,-0.0
2025-01-02 09:00:00,612.9680000000008,2671.0,20589.0,-0.0,-0.0,3214.91,2217.336,95.786,1010.0,-0.0
2025-01-02 10:00:00,-0.0,569.6999999999971,20589.0,-0.0,-0.0,4402.792,3426.792,574.716,1010.0,-0.0
2025-01-02 11:00:00,-0.0,-0.0,17676.677999999996,-0.0,-0.0,5045.774,5039.4,1724.148,1010.0,-0.0
2025-01-02 12:00:00,-0.0,-0.0,15360.475000000004,-0.0,-0.0,5503.49,5358.562,2921.473,1010.0,-0.0
2025-01-02 13:00:00,-0.0,-0.0,15983.378999999997,-0.0,-0.0,5459.898,5324.966,2346.757,1010.0,-0.0
2025-01-02 14:00:00,-0.0,-0.0,17547.347999999998,-0.0,-0.0,5372.714,5282.971,909.967,1010.0,-0.0
2025-01-02 15:00:00,-0.0,-0.0,18037.806000000004,-0.0,-0.0,5274.632,5358.562,-0.0,1010.0,-0.0
2025-01-02 16:00:00,-0.0,-0.0,17945.529000000002,-0.0,-0.0,5503.49,5198.981,-0.0,1010.0,-0.0
2025-01-02 17:00:00,-0.0,-0.0,17804.883,-0.0,-0.0,5732.348,5299.769,-0.0,1010.0,-0.0
2025-01-02 18:00:00,-0.0,-0.0,16617.372,-0.0,-0.0,6168.268,5375.36,-0.0,1010.0,-0.0
2025-01-02 19:00:00,-0.0,-0.0,14821.475999999999,-0.0,-0.0,6538.8,5677.724,-0.0,1010.0,-0.0
2025-01-02 20:00:00,-0.0,-0.0,12870.062000000002,-0.0,-0.0,6876.638,5879.3,-0.0,1010.0,-0.0
2025-01-02 21:00:00,-0.0,-0.0,11432.245,-0.0,-0.0,7279.864,5954.891,-0.0,1010.0,-0.0
2025-01-02 22:00:00,-0.0,-0.0,11419.042,-0.0,-0.0,6985.618,5543.34,-0.0,1010.0,-0.0
2025-01-02 23:00:00,-0.0,-0.0,12706.547999999999,-0.0,-0.0,6996.516,5576.936,-0.0,1010.0,-0.0
2025-01-03 00:00:00,-0.0,-0.0,11602.024999999998,-0.0,-0.0,6854.842,5602.133,-0.0,1010.0,-0.0
2025-01-03 01:00:00,-0.0,-0.0,11773.376,-0.0,-0.0,6538.8,4837.824,-0.0,1010.0,-0.0
2025-01-03 02:00:00,-0.0,-0.0,12997.104,-0.0,-0.0,5863.124,3594.772,-0.0,1010.0,-0.0
2025-01-03 03:00:00,-0.0,-0.0,14279.303000000002,-0.0,-0.0,5318.224,2746.473,-0.0,1010.0,-0.0
2025-01-03 04:00:00,-0.0,-0.0,15891.562000000002,-0.0,-0.0,4991.284,2066.154,-0.0,1010.0,-0.0
2025-01-03 05:00:00,-0.0,-0.0,17506.632,-0.0,-0.0,4762.426,2166.942,-0.0,1010.0,-0.0
2025-01-03 06:00:00,-0.0,-0.0,18990.952,-0.0,-0.0,4511.772,2721.276,-0.0,1010.0,-0.0
2025-01-03 07:00:00,-0.0,-0.0,19807.008,-0.0,-0.0,4348.302,2603.69,-0.0,1010.0,-0.0
2025-01-03 08:00:00,53.16700000000128,2671.0,20589.0,-0.0,-0.0,4261.118,2393.715,-0.0,1010.0,-0.0
2025-01-03 09:00:00,-0.0,2148.555999999997,20589.0,-0.0,-0.0,4337.404,2393.715,1197.325,1010.0,-0.0
2025-01-03 10:00:00,-0.0,1801.9100000000035,20589.0,-0.0,-0.0,3585.442,2242.533,2634.115,1010.0,-0.0
2025-01-03 11:00:00,-0.0,2053.369999999999,20589.0,-0.0,-0.0,3389.278,1444.628,3256.724,1010.0,-0.0
2025-01-03 12:00:00,-0.0,2098.229000000003,20589.0,-0.0,-0.0,2942.46,848.299,4023.012,1010.0,-0.0
2025-01-03 13:00:00,552.3760000000038,2671.0,20589.0,-0.0,-0.0,2288.58,629.925,3975.119,1010.0,-0.0
2025-01-03 14:00:00,1870.2150000000038,2671.0,20589.0,-0.0,-0.0,1580.21,823.102,2921.473,1010.0,-0.0
2025-01-03 15:00:00,2790.490999999998,2671.0,20589.0,-0.0,-0.0,1416.74,1192.658,1293.111,1010.0,-0.0
2025-01-03 16:00:00,3043.4500000000007,2671.0,20589.0,-0.0,-0.0,1307.76,1763.79,-0.0,1010.0,-0.0
2025-01-03 17:00:00,2646.5030000000006,2671.0,20589.0,-0.0,-0.0,1285.964,2242.533,-0.0,1010.0,-0.0
2025-01-03 18:00:00,1584.7150000000001,2671.0,20589.0,-0.0,-0.0,1285.964,2343.321,-0.0,1010.0,-0.0
2025-01-03 19:00:00,122.84000000000015,2671.0,20589.0,-0.0,-0.0,1384.046,2402.114,-0.0,1010.0,-0.0
