date,fra_hard-coal,fra_gas,fra_oil,fra_other-non-renewables,fra_wind-on-shore,fra_wind-off-shore,fra_solar-pv,fra_other-renewables,fra_uranium,fra_failure
2025-01-01 00:00:00,-0.0,-0.0,-0.0,-0.0,1371.306,137.02,-0.0,2265.0,51315.674000000006,-0.0
2025-01-01 01:00:00,-0.0,-0.0,-0.0,-0.0,1419.422,126.945,-0.0,2265.0,49247.633,-0.0
2025-01-01 02:00:00,-0.0,-0.0,-0.0,-0.0,1563.77,124.93,-0.0,2265.0,46467.3,-0.0
2025-01-01 03:00:00,-0.0,-0.0,-0.0,-0.0,1563.77,130.975,-0.0,2265.0,44730.255000000005,-0.0
2025-01-01 04:00:00,-0.0,-0.0,-0.0,-0.0,1539.712,147.095,-0.0,2265.0,44448.193,-0.0
2025-01-01 05:00:00,-0.0,-0.0,-0.0,-0.0,1515.654,163.215,-0.0,2265.0,45179.131,-0.0
2025-01-01 06:00:00,-0.0,-0.0,-0.0,-0.0,1563.77,175.305,-0.0,2265.0,45772.925,-0.0
2025-01-01 07:00:00,-0.0,-0.0,-0.0,-0.0,1635.944,179.335,-0.0,2265.0,46392.721,-0.0
2025-01-01 08:00:00,-0.0,-0.0,-0.0,-0.0,1756.234,183.365,1109.224,2265.0,46900.177,-0.0
2025-01-01 09:00:00,-0.0,-0.0,-0.0,-0.0,1828.408,195.455,3036.728,2265.0,46625.40899999999,-0.0
2025-01-01 10:00:00,-0.0,-0.0,-0.0,-0.0,1251.016,189.41,4873.312,2265.0,47727.261999999995,-0.0
2025-01-01 11:00:00,-0.0,-0.0,-0.0,-0.0,1251.016,225.68,6309.848,2265.0,48226.456,-0.0
2025-01-01 12:00:00,-0.0,-0.0,-0.0,-0.0,1275.074,241.8,6873.552,2265.0,61761.0,-0.0
2025-01-01 13:00:00,-0.0,-0.0,-0.0,-0.0,1323.19,251.875,6546.24,2265.0,43204.695,-0.0
2025-01-01 14:00:00,-0.0,-0.0,-0.0,-0.0,1467.538,255.905,5273.36,2265.0,43414.197,-0.0
2025-01-01 15:00:00,-0.0,-0.0,-0.0,-0.0,1611.886,270.01,3054.912,2265.0,45224.192,-0.0
2025-01-01 16:00:00,-0.0,-0.0,-0.0,-0.0,1972.756,304.265,272.76,2265.0,51744.219,-0.0
2025-01-01 17:00:00,-0.0,-0.0,-0.0,-0.0,2453.916,324.415,-0.0,2265.0,53842.669,-0.0
2025-01-01 18:00:00,-0.0,-0.0,-0.0,-0.0,2742.612,314.34,-0.0,2265.0,53221.048,-0.0
2025-01-01 19:00:00,-0.0,-0.0,-0.0,-0.0,2862.902,274.04,-0.0,2265.0,51035.058,-0.0
2025-01-01 20:00:00,-0.0,-0.0,-0.0,-0.0,2935.076,223.665,-0.0,2265.0,49166.259,-0.0
2025-01-01 21:00:00,-0.0,-0.0,-0.0,-0.0,2935.076,183.365,-0.0,2265.0,51724.559,-0.0
2025-01-01 22:00:00,-0.0,-0.0,-0.0,-0.0,2020.872,235.755,-0.0,2265.0,52793.373,-0.0
2025-01-01 23:00:00,-0.0,-0.0,-0.0,-0.0,1924.64,195.455,-0.0,2265.0,48827.905,-0.0
2025-01-02 00:00:00,-0.0,-0.0,-0.0,-0.0,1900.582,151.125,-0.0,2265.0,48212.293,-0.0
2025-01-02 01:00:00,-0.0,-0.0,-0.0,-0.0,2044.93,120.9,-0.0,2265.0,46418.17,-0.0
2025-01-02 02:00:00,-0.0,-0.0,-0.0,-0.0,2213.336,120.9,-0.0,2265.0,44607.763999999996,-0.0
2025-01-02 03:00:00,-0.0,-0.0,-0.0,-0.0,2453.916,147.095,-0.0,2265.0,44037.989,-0.0
2025-01-02 04:00:00,-0.0,-0.0,-0.0,-0.0,2574.206,189.41,-0.0,2265.0,45636.384,-0.0
2025-01-02 05:00:00,-0.0,-0.0,-0.0,-0.0,2646.38,249.86,-0.0,2265.0,50581.76,-0.0
2025-01-02 06:00:00,-0.0,-0.0,-0.0,-0.0,2598.264,296.205,-0.0,2265.0,54244.530999999995,-0.0
2025-01-02 07:00:00,-0.0,-0.0,-0.0,-0.0,2622.322,334.49,-0.0,2265.0,56696.188,-0.0
2025-01-02 08:00:00,-0.0,-0.0,-0.0,-0.0,2574.206,354.64,1254.696,2265.0,57735.458000000006,-0.0
2025-01-02 09:00:00,-0.0,-0.0,-0.0,-0.0,2357.684,362.7,3873.192,2265.0,55810.424,-0.0
2025-01-02 10:00:00,-0.0,-0.0,-0.0,-0.0,1563.77,372.775,6164.376,2265.0,56173.079,-0.0
2025-01-02 11:00:00,-0.0,-0.0,-0.0,-0.0,1756.234,322.4,7710.016,2265.0,55342.35,-0.0
2025-01-02 12:00:00,-0.0,-0.0,-0.0,-0.0,1804.35,245.83,8382.824,2265.0,52767.996,-0.0
2025-01-02 13:00:00,-0.0,-0.0,-0.0,-0.0,1780.292,169.26,7964.592,2265.0,52026.856,-0.0
2025-01-02 14:00:00,-0.0,-0.0,-0.0,-0.0,1732.176,116.87,6346.216,2265.0,52924.738,-0.0
2025-01-02 15:00:00,-0.0,-0.0,-0.0,-0.0,1635.944,118.885,3800.456,2265.0,59320.12220222739,-0.0
2025-01-02 16:00:00,-0.0,-0.0,-0.0,-0.0,1732.176,157.17,454.6,2265.0,61761.0,-0.0
2025-01-02 17:00:00,-0.0,-0.0,-0.0,-0.0,1996.814,231.725,-0.0,2265.0,61761.0,-0.0
