date,ibe_hard-coal,ibe_gas,ibe_oil,ibe_other-non-renewables,ibe_wind-on-shore,ibe_wind-off-shore,ibe_solar-pv,ibe_solar_thermal,ibe_other-renewables,ibe_nuclear,ibe_flex-demand,ibe_failure
2025-01-01 00:00:00,-0.0,-0.0,-0.0,-0.0,26090.19009,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 01:00:00,-0.0,-0.0,-0.0,-0.0,26378.7072,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 02:00:00,-0.0,-0.0,-0.0,-0.0,26007.75663,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 03:00:00,-0.0,-0.0,-0.0,-0.0,25018.55511,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 04:00:00,-0.0,-0.0,-0.0,-0.0,24317.8707,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 05:00:00,-0.0,-0.0,-0.0,-0.0,23658.40302,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 06:00:00,-0.0,-0.0,-0.0,-0.0,23369.88591,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 07:00:00,-0.0,-0.0,-0.0,-0.0,23122.58553,41.712,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 08:00:00,-0.0,-0.0,-0.0,-0.0,22834.06842,41.8,803.5416,47.29,2033.4,-0.0,-0.0,-0.0
2025-01-01 09:00:00,-0.0,-0.0,-0.0,-0.0,22751.63496,41.8,3897.17676,229.3565,2033.4,-0.0,-0.0,-0.0
2025-01-01 10:00:00,-0.0,-0.0,-0.0,-0.0,21556.34979,41.8,7272.05148,427.9745,2033.4,-0.0,-0.0,-0.0
2025-01-01 11:00:00,-0.0,-0.0,-0.0,-0.0,22463.11785,41.8,9682.67628,569.8445,2033.4,-0.0,-0.0,-0.0
2025-01-01 12:00:00,-0.0,-0.0,-0.0,-0.0,23740.83648,41.8,10807.63452,636.0505,2033.4,-0.0,-0.0,-0.0
2025-01-01 13:00:00,-0.0,-0.0,-0.0,-0.0,24523.95435,41.8,10204.97832,600.583,2033.4,-0.0,-0.0,-0.0
2025-01-01 14:00:00,-0.0,-0.0,-0.0,-0.0,24317.8707,41.8,8115.77016,477.629,2033.4,-0.0,-0.0,-0.0
2025-01-01 15:00:00,-0.0,-0.0,-0.0,-0.0,24812.47146,41.8,5343.55164,314.4785,2033.4,-0.0,-0.0,-0.0
2025-01-01 16:00:00,-0.0,-0.0,-0.0,-0.0,24894.90492,41.8,2410.6248,141.87,2033.4,-0.0,-0.0,-0.0
2025-01-01 17:00:00,-0.0,-0.0,-0.0,-0.0,24812.47146,41.8,120.53124,7.0935,2033.4,-0.0,-0.0,-0.0
2025-01-01 18:00:00,-0.0,-0.0,-0.0,-0.0,25348.28895,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 19:00:00,-0.0,-0.0,-0.0,-0.0,25925.32317,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
2025-01-01 20:00:00,-0.0,-0.0,-0.0,-0.0,26213.84028,41.8,-0.0,-0.0,2033.4,-0.0,-0.0,-0.0
