date,ibe_hard-coal,ibe_gas,ibe_oil,ibe_other-non-renewables,ibe_wind_onshore,ibe_wind_offshore,ibe_solar_pv,ibe_other-renewables,ibe_uranium,ibe_failure
2033-01-01 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 01:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 02:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 03:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 04:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 05:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 06:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 07:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 08:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 09:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 10:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,757.4300000000003,-0.0,-0.0
2033-01-01 11:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1581.4300000000003,-0.0,-0.0
2033-01-01 12:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2718.4300000000003,-0.0,-0.0
2033-01-01 13:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2245.4300000000003,-0.0,-0.0
2033-01-01 14:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,694.4300000000003,-0.0,-0.0
2033-01-01 15:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-01 16:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.430000000000291,-0.0,-0.0
2033-01-01 17:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2449.4300000000003,-0.0,-0.0
2033-01-01 18:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,2257.2300000000005,-0.0,2892.2,-0.0,-0.0
2033-01-01 19:00:00,-0.0,-0.0,-0.0,-0.0,1135.8700000000003,2373.36,-0.0,2892.2,-0.0,-0.0
2033-01-01 20:00:00,-0.0,-0.0,-0.0,-0.0,1508.1500000000005,2335.08,-0.0,2892.2,-0.0,-0.0
2033-01-01 21:00:00,-0.0,-0.0,-0.0,-0.0,11.290000000000418,2315.94,-0.0,2892.2,-0.0,-0.0
2033-01-01 22:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,156.23000000000047,-0.0,2892.2,-0.0,-0.0
2033-01-01 23:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2174.4300000000003,-0.0,-0.0
2033-01-02 00:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 01:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 02:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 03:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 04:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 05:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 06:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 07:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2033-01-02 08:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,464.2300000000005,2892.2,-0.0,-0.0
2033-01-02 09:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3605.2300000000005,2892.2,-0.0,-0.0
2033-01-02 10:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5338.2300000000005,2892.2,-0.0,-0.0
2033-01-02 11:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6092.2300000000005,2892.2,-0.0,-0.0
2033-01-02 12:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6627.2300000000005,2892.2,-0.0,-0.0
2033-01-02 13:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,5566.2300000000005,2892.2,-0.0,-0.0
2033-01-02 14:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3947.2300000000005,2892.2,-0.0,-0.0
