date,pol_hard-coal,pol_gas,pol_oil,pol_nuclear,pol_other-non-renewables,pol_wind-onshore,pol_wind-offshore,pol_solar-pv,pol_other-renewables,pol_failure
2033-06-01 00:00:00,-0.0,-0.0,-0.0,453.0939999999996,-0.0,247.806,5330.1,-0.0,-0.0,-0.0
2033-06-01 01:00:00,-0.0,-0.0,-0.0,1245.2270000000003,-0.0,261.573,4120.2,-0.0,-0.0,-0.0
2033-06-01 02:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,289.107,3052.0,-0.0,-0.0,-0.0
2033-06-01 03:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,371.709,2648.7,22.929,-0.0,-0.0
2033-06-01 04:00:00,-0.0,-0.0,-0.0,1987.4630000000002,-0.0,550.68,2594.2,756.657,-0.0,-0.0
2033-06-01 05:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,619.515,2517.9,2751.48,-0.0,-0.0
2033-06-01 06:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,509.379,2321.7,5525.889,-0.0,-0.0
2033-06-01 07:00:00,-0.0,-0.0,-0.0,1190.2710000000004,-0.0,454.311,2103.7,7841.718,-0.0,-0.0
2033-06-01 08:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,564.447,1896.6,9836.541,-0.0,-0.0
2033-06-01 09:00:00,-0.0,-0.0,-0.0,-0.0,-0.0,605.748,1613.2,10914.204,-0.0,-0.0
2033-06-01 10:00:00,-0.0,-0.0,-0.0,1869.268731306568,-0.0,578.214,468.7,10134.618,-0.0,-0.0
2033-06-01 11:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,715.884,294.3,8896.452,-0.0,-0.0
2033-06-01 12:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,743.418,359.7,7750.002,463.87999999999954,-0.0
2033-06-01 13:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,770.952,730.3,6465.978,1284.7699999999998,-0.0
2033-06-01 14:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,660.816,1035.5,5434.173,2183.0,-0.0
2033-06-01 15:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,536.913,1122.7,4425.297,2183.0,-0.0
2033-06-01 16:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,495.612,1220.8,3049.557,2183.0,-0.0
2033-06-01 17:00:00,-0.0,3456.743999999999,-0.0,2110.0,-0.0,536.913,1733.1,1536.243,2183.0,-0.0
2033-06-01 18:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,936.156,3215.5,321.006,2183.0,-0.0
2033-06-01 19:00:00,-0.0,768.5237425256882,-0.0,2110.0,-0.0,1638.273,4643.4,-0.0,2183.0,-0.0
2033-06-01 20:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,2271.555,4599.8,-0.0,2183.0,-0.0
2033-06-01 21:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,2422.992,4774.2,-0.0,2183.0,-0.0
2033-06-01 22:00:00,-0.0,-0.0,-0.0,2110.0,-0.0,1762.176,3171.9,-0.0,2183.0,-0.0
